journal,publication_year,title,abstract,keywords,doi,claim,llm_policy_claim
Preventive Medicine,2020,Physical activity trajectories from childhood to late adolescence and their implications for health in young adulthood,"Physical activity has been associated with physical and mental health across the life course, yet few studies have used group-based trajectory modeling to examine the effect of longitudinal patterns of physical activity during childhood and adolescence on adult health outcomes. The Raine Study data from Gen2 follow-ups at 8, 10, 14, 17, 20, and 22 years collected between 1998 and 2014 were used. Latent class analysis identified trajectories using parent-reported physical activity for ages 8 to 17. Associations between trajectories and physical and mental health outcomes at ages 20 and 22 were explored, adjusting for current physical activity and considering sex interactions. Analysis in 2019 identified three trajectories: low (13%), mid (65%) and high (22%) physical activity (n = 1628). Compared to the low-activity trajectory, those in the high-activity trajectory had lower adiposity, insulin, HOMA-IR and fewer diagnosed disorders, higher HDL-cholesterol, and faster cognitive processing. For example, those in the high-activity trajectory had lower percent body fat at age 20 compared to those in the mid-activity (−4.2%, 95%CI: −5.8, −2.7) and low-activity (−9.5%, 95%CI: −11.7, −7.2) trajectories. Physical activity trajectories showed different associations between sexes for self-reported physical and mental health, BMI, systolic blood pressure, and depression symptoms. Being in the high- or mid-activity trajectory was associated with a more favorable cardiometabolic and mental health profile in young adulthood. Strategies are needed to help less active children to increase physical activity throughout childhood and adolescence to improve young adult health outcomes.","['Body composition', 'Cohort', 'Life course', 'Longitudinal', 'Obesity', 'Physical activity']",10.1016/j.ypmed.2020.106224,1,True
European Journal Of Epidemiology,2022,SARS-CoV-2 infections in professional orchestra and choir musicians—a prospective cohort study,"During the COVID-19 pandemic, rehearsal and concert activities of professional orchestras and choirs were severely restricted based on the assumption of particularly high infection risks associated with wind instruments and singing. Therefore, our primary objective was to determine the incidence of SARS-CoV-2 infections in orchestra and choir musicians compared to controls. We also assessed influenza, flu, upper respiratory tract infections, and course of illness. Musicians from professional orchestras and choirs and controls from 23 institutions throughout Germany were included in a prospective cohort study. Data were collected from October 2020 to June 2021 by weekly online surveys. A mixed-effects cox proportional hazards model was used to assess the effect of exposure by professional activity on SARS-CoV-2 infection. In 1,097 participants (46.7 years (SD 10.3); 46.8% female; 705 orchestra, 154 choir, and 238 control subjects) 40 SARS-CoV-2 infections occurred. Cases per person-years were 0.06 in orchestras, 0.11 in choirs, and 0.03 in controls. Hazard ratios compared to controls were 1.74 (95% CI 0.58 to 5.25, p = 0.320) for orchestra musicians and 2.97 (0.87 to 10.28, p = 0.087) for choir singers. Infection source was suspected predominantly in private contexts. Disease courses were mild to moderate. Other respiratory infections were reported in 6.1% of study weeks in orchestras, 10.1% in choirs, and 8.0% in controls. Sick leave days of total study days were 0.5, 2.1 and 1.3%, respectively. This epidemiologic study during the pandemic in professional musicians indicates no increased risk of SARS-CoV-2 infections in orchestra musicians and a trend towards increased risk in choir singers compared to controls. However, the exact routes of infection could not be validated. If appropriate hygiene concepts are adhered to, safe orchestra and choir activity appears possible in pandemic times.","['Cohort study', 'Coronavirus SARS', 'Incidence', 'Occupational health']",10.1007/s10654-022-00917-x,1,True
American Journal Of Preventive Medicine,2020,Potassium Intake in India: Opportunity for Mitigating Risks of High-Sodium Diets,"Introduction: Most Indians are vegetarian or eat very little meat, which could imply high potassium intake. Because a high-potassium diet could counterbalance the adverse health effects of high-sodium intake, this study aimed to describe potassium relative to sodium intake and investigate the relationship between blood pressure and potassium intake relative to sodium intake in rural and urban India. Methods: Investigators collected 24-hour urines from 1,445 participants in a subset of 2 population-based surveys in North India in 2012–2013. Standardized questionnaires were used to collect information on demography, behaviors (tobacco, alcohol consumption, physical activity, and diet [food frequency and 24-hour recall]), and medical history. After evaluating expected versus measured creatinine excretion, the authors calculated median urine potassium excretion and sodium/potassium ratio, according to sex and urban or rural residence, and estimated least square means for the urine measures by participant demographics and comorbidities, after accounting for caloric intake. Two-year blood pressure follow-up data were available in the urban study, and ANCOVA regression was used to determine the association with urine measures. All the statistical analyses of the data were done in January 2019. Results: Acceptable 24-hour urine collections were available in 1,397 participants (rural, n=730). Median urine potassium excretions were 1,492 (IQR=1,012−2,063) and 975 (615–1,497) mg/day; sodium/potassium ratios met the recommended target of <1 in 2.9% rural and 6.6% urban participants. Rural participants did not have higher potassium or lower (better) sodium/potassium ratios when diagnosed with hypertension or other cardiovascular conditions. Higher potassium excretion was associated with lower blood pressure during follow-up among the urban participants (mean systolic blood pressure, 129 vs 133 mm Hg in highest vs lowest potassium excretion tertiles; p=0.029). Conclusions: Low potassium intake in India warrants dietary policies promoting intake of potassium-rich foods to improve heart health. This approach may be more acceptable than programs focused on sodium reduction alone.",[],10.1016/j.amepre.2019.09.017,1,True
Preventive Medicine,2023,"Trends in past-month cannabis use among US adults across a range of disabilities and health conditions, 2015–2019","Introduction: While there is increasing interest in the use of cannabis to manage a range of health-related symptoms, little is known about trends in recent cannabis use with respect to various health conditions. Methods: We examined data from a US representative sample of noninstitutionalized adults age ≥ 18 from the 2015–2019 National Survey on Drug Use and Health (N = 214,505). We estimated the pooled prevalences followed by linear time trends, overall, and by disability (i.e., difficulty hearing, seeing, thinking, walking, dressing, doing errands) and lifetime (i.e., bronchitis, cancer, diabetes, hepatitis, kidney disease) and current (i.e., asthma, depression, heart disease, hypertension) health condition status using logistic regression. Models with year-by-condition status interaction terms were used to assess differential time trends, adjusting for demographic characteristics. Results: From 2015 to 2019, cannabis use increased significantly among adults with and without each disability and health condition examined. However, the increase was more rapid among those with (versus without) difficulty hearing (89.8% increase [4.9% to 9.3%] vs. 37.9% increase [8.7% to 12.0%], p = 0.015), difficulty walking (84.1% increase [6.3% to 11.6%] vs. 36.8% increase [8.7% to 11.9%], p < 0.001), 2–3 impairments (75.3% increase [9.3% to 16.3%] vs. 36.6% increase [8.2% to 11.2%], p = 0.041), and kidney disease (135.3% increase [3.4% to 8.0%] vs. 38.4% increase [8.6% to 11.9%], p = 0.045). Conclusion: Given the potential adverse effects of cannabis, prevention and harm reduction efforts should focus on groups at increasingly higher risk for use, including those with disabilities and kidney disease.","['Cannabis', 'Disability', 'Functional impairment', 'Health conditions', 'Marijuana', 'Trends']",10.1016/j.ypmed.2023.107768,1,True
American Journal Of Preventive Medicine,2021,A Feasibility Study of Primary Care Liaisons: Linking Older Adults to Community Resources,"Introduction: Programs and services available through the aging services network can help community-dwelling older adults to age in place but are often not discussed in routine primary care. The primary care liaison was developed as a novel integration intervention to address this disconnect. Methods: Employed by an Area Agency on Aging, primary care liaisons performed outreach to primary care with the goal of raising awareness of community-based programs, resources, and services available to older adults and their caregivers and facilitating referrals. The evaluation of the primary care liaison model, conducted from December 2015 to February 2019, used the Reach, Effectiveness, Adoption, Implementation, Maintenance framework and assessed reach (number of clinics contacted), adoption (number of referrals to the Area Agency on Aging), implementation (number of follow-up contacts with a practice), and effectiveness (proportion of referrals reached and provided relevant resources). Results: The primary care liaisons contacted a median of 18.5 clinics per month (IQR=15−31). Primary care referrals averaged >100 per month, and referrals increased over time. Successful follow-up outreach visits had a median of 3 (IQR=2−10), and follow-up contacts had a median of 3 (IQR=1−7) per practice. Three quarters of caregivers for people with dementia reached by Area Agency on Aging staff were provided with information about relevant resources. Conclusions: The primary care liaison model is feasible, fosters ongoing interactions between primary care and Area Agencies on Aging, and connects older adults and their caregivers to relevant programs and services. Adoption of the primary care liaison model by other Area Agencies on Aging across the U.S. may help further the vision of optimized health and well-being of older adults.",[],10.1016/j.amepre.2021.05.034,1,True
American Journal Of Epidemiology,2023,Enhancing Epidemiology’s Impact on Policy: Mediation by Expert Committees,"Epidemiologic evidence is often a key source of information used by expert committees to guide policy decisions, yet epidemiologists rarely consider this audience for their research. For a better understanding of the pipeline from epidemiologic research to expert committee assessment to policy, several reports from the National Academies of Sciences, Engineering, and Medicine were reviewed and discussed with staff and committee members. The topics of these consensus committee assessments included health behaviors, medical care, and military exposures. The focus was often on emerging issues of immediate concern for which there was little relevant research available but a need for prompt action. Committees generally sought a comprehensive assessment of potential health effects of a given product or exposure, which often included social and behavioral health outcomes that are rarely addressed by epidemiologists. To enhance epidemiology’s contribution to societal decisions, the choice of research topics should expand to consider emerging societal concerns. Research funding agencies need to be engaged as mediators between committee needs and the research community to stimulate contributory research. Improved communication of research needs to the epidemiology community would be beneficial to researchers aspiring to have an impact and to those who use epidemiologic information to help guide policy decisions.","['consequentialist epidemiology', 'expert committees', 'health policy']",10.1093/aje/kwad078,1,True
American Journal Of Preventive Medicine,2024,Gestational Weight Gain Among Urban and Rural Pregnant Individuals Who Smoke or Quit Smoking,"Introduction: Approximately 7.2% of individuals in the U.S. smoke during pregnancy, and cessation is associated with excessive gestational weight gain (GWG). Weight gain is a common reason for not quitting smoking or relapsing. The current study aimed to characterize who is at risk for excessive GWG and determine the moderating effect of rurality given the higher smoking rates and lower access to healthcare services in these areas. Methods: Data from the Virginia Pregnancy Risk Assessment Monitoring System (PRAMS; years 2009–2020) were used to assess the association between participant characteristics, smoking behaviors, and rurality by excessive GWG status in 2023. Results: Almost half (44.0%) of participants experienced excessive GWG; 9.8% of participants quit smoking while 6.9% continued smoking. Respondents who quit during pregnancy had higher odds of excessive GWG than non-smoking respondents (OR=1.83, 95% CI: [1.24, 2.71]). Among those who were non-smoking, respondents in rural areas, compared to urban areas, had a higher probability of experiencing excessive GWG (0.46 vs 0.44, p<0.001). For those who quit smoking (0.60 vs 0.41, p<0.001) or continued to smoke during pregnancy (0.46 vs 0.33, p<0.001), urban residence was associated with a higher likelihood of excessive GWG compared to rural residence. Conclusions: Smoking cessation and weight management during pregnancy are critical to promoting infant and maternal health. Targeted interventions combining weight management and smoking cessation have been successful among the general population and could be adapted for pregnant individuals who smoke to facilitate cessation and healthy GWG in both urban and rural areas.",[],10.1016/j.amepre.2023.12.010,1,True
European Journal Of Public Health,2022,Ethnic differences in functional limitations: a comparison of older migrants and native Dutch older population,"Background: Although the older migrants population in Europe is expected to grow substantially in the coming years, there is little information about their health status and particularly functional limitations. This study examined the association of ethnicity and mobility, hearing and visual limitations in comparison to the general population in the Netherlands, and whether relevant characteristics explained the potential differences between older migrants and non-migrants. Methods: Secondary data analysis of 12 652 subjects 55 years and older who participated in the health survey in the four largest Dutch cities. To establish limitations in vision, hearing and mobility, the Organization for Economic Co-operation and Development (OECD) questionnaire was used. Logistic regression analysis was used to examine the association between limitations and ethnic background, subsequently adjusting for demographic and socio-economic characteristics and relevant health- and lifestyle-related factors. Results: Older migrants had higher prevalences of functional limitations. The age- and- gender adjusted ORs were 2 to 8-fold compared with older non-migrants. After adjusting for socioeconomic status and health-and lifestyle indicators, Moroccan, Turkish and Surinamese migrants still had increased ORs for visual limitations [ORs (95% CI), respectively: 2.48 (1.49-4.14), 3.08 (1.75-5.41) and 1.97 (1.33-2.91)] compared with the Dutch. For mobility limitations, only the Turkish migrants had an OR twice as high (2.19; 1.08-4.44) as the non-migrants. No significant differences were found between Antillean/Aruban migrants and non-migrants. Conclusions: Important ethnic inequalities exist in various functional limitations, particularly in vision. These results underline the importance of tailored preventive interventions in older migrants to detect and prevent these limitations at an early stage.",[],10.1093/eurpub/ckab080,1,True
The Lancet Public Health,2020,Diagnosis of physical and mental health conditions in primary care during the COVID-19 pandemic: a retrospective cohort study,"Background: To date, research on the indirect impact of the COVID-19 pandemic on the health of the population and the health-care system is scarce. We aimed to investigate the indirect effect of the COVID-19 pandemic on general practice health-care usage, and the subsequent diagnoses of common physical and mental health conditions in a deprived UK population. Methods: We did a retrospective cohort study using routinely collected primary care data that was recorded in the Salford Integrated Record between Jan 1, 2010, and May 31, 2020. We extracted the weekly number of clinical codes entered into patient records overall, and for six high-level categories: symptoms and observations, diagnoses, prescriptions, operations and procedures, laboratory tests, and other diagnostic procedures. Negative binomial regression models were applied to monthly counts of first diagnoses of common conditions (common mental health problems, cardiovascular and cerebrovascular disease, type 2 diabetes, and cancer), and corresponding first prescriptions of medications indicative of these conditions. We used these models to predict the expected numbers of first diagnoses and first prescriptions between March 1 and May 31, 2020, which were then compared with the observed numbers for the same time period. Findings: Between March 1 and May 31, 2020, 1073 first diagnoses of common mental health problems were reported compared with 2147 expected cases (95% CI 1821 to 2489) based on preceding years, representing a 50·0% reduction (95% CI 41·1 to 56·9). Compared with expected numbers, 456 fewer diagnoses of circulatory system diseases (43·3% reduction, 95% CI 29·6 to 53·5), and 135 fewer type 2 diabetes diagnoses (49·0% reduction, 23·8 to 63·1) were observed. The number of first prescriptions of associated medications was also lower than expected for the same time period. However, the gap between observed and expected cancer diagnoses (31 fewer; 16·0% reduction, −18·1 to 36·6) during this time period was not statistically significant. Interpretation: In this deprived urban population, diagnoses of common conditions decreased substantially between March and May 2020, suggesting a large number of patients have undiagnosed conditions. A rebound in future workload could be imminent as COVID-19 restrictions ease and patients with undiagnosed conditions or delayed diagnosis present to primary and secondary health-care services. Such services should prioritise the diagnosis and treatment of these patients to mitigate potential indirect harms to protect public health. Funding: National Institute of Health Research.",[],10.1016/S2468-2667(20)30201-2,1,True
American Journal Of Preventive Medicine,2020,Poor Health and Violent Crime Hot Spots: Mitigating the Undesirable Co-Occurrence Through Focused Place-Based Interventions,"Introduction: The geographic overlap of violence and poor health is a major public health concern. To understand whether and how place-based interventions targeting micro-geographic places can reduce this undesirable co-occurrence, the study addresses 2 important questions. First, to what extent are deteriorated health conditions associated with living at violent crime hot spots? Second, through what mechanisms can focused place-based interventions break the association between living with violence and deteriorated health? Methods: This study used survey data from 2,724 respondents living on 328 street segments that were categorized as violent crime hot spots (181 segments with 1,532 respondents) versus non–hot spots (147 segments with 1,192 respondents) in 2013–2014 in Baltimore, Maryland. Propensity score analysis assessed whether individuals living at violent crime hot spots had lower general health perceptions than people living at non–hot spots. Marginal structural models estimated the proportion of total effects mediated by 3 theoretically informed intervening mechanisms. Analyses were conducted in 2019. Results: Respondents living at violent crime hot spots had a lower level of self-rated general health (b= −0.096, 95% CI= −0.176, −0.015) and higher levels of health limitations (b=0.068, 95% CI=0.027, 0.109) and problems (OR=2.026, 95% CI=1.225, 3.349) than those living at non–hot spots. Enhanced perceptions of safety, collective efficacy, and police legitimacy may break the association between living in places with extremely high levels of violence and deteriorated health. Conclusions: Indicated or selective strategies are urgently needed to target micro-geographic locations with known increased risks, supplementing universal strategies applied to a broader community.",[],10.1016/j.amepre.2019.12.012,1,True
