abstract_id,pattern_index,pattern,matched_text,context
SCOPUS_ID:85013372258,1,policymakers?\s+should,policymakers should,"...with low educational attainment. We conclude that policymakers should consider devoting more, not fewer, resources to t..."
SCOPUS_ID:0027323817,0,policies?\s+should,policies should,...against this standard. The analysis suggests that policies should be designed so that the penalties paid by drunk d...
SCOPUS_ID:85185561018,0,policies?\s+should,policies should,...ate relationships through marriage. Public health policies should consider the potential impact of marriage as an i...
SCOPUS_ID:85166733005,16,policy\s+should\s+(prioritize|focus\s+on|address),policy should focus on,"...ing particularly noteworthy. Thus, Chinese health policy should focus on the earlier stages of life, actively promoting in..."
SCOPUS_ID:85111296511,0,policies?\s+should,policies should,"... country level, the stringency of ‘lockdown’-type policies should be set to achieve the best possible trade-off bet..."
SCOPUS_ID:85079388824,1,policymakers?\s+should,policymakers should,"...to price increases. However, even when effective, policymakers should recognize that changes in purchasing patterns may..."
SCOPUS_ID:85079372601,2,government\s+(must|should),government should,"... fiscal measures and similar to tobacco taxation, government should consider directing revenue generated towards comp..."
SCOPUS_ID:85062978052,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,"...ross all cohorts and age groups over time, policy interventions should focus more broadly on all age groups and birth cohorts...."
SCOPUS_ID:10344255738,0,policies?\s+should,policies should,... Brazilian municipalities suggesting that various policies should be adopted. We investigate the determinants of in...
SCOPUS_ID:85210176480,37,action\s+is\s+needed,action is needed,"...HR, 1.28; 95% CI, 1.21–1.36). Conclusions: Urgent action is needed to prevent youth from suffering violence. Address..."
SCOPUS_ID:85184835872,0,policies?\s+should,policies should,"...quality in the health burden of future pandemics, policies should focus on limiting structural differences in under..."
SCOPUS_ID:85064534493,1,policymakers?\s+should,policymakers should,"...nefits of being physically active, clinicians and policymakers should be aware that their patients with any chronic dis..."
SCOPUS_ID:85062548528,0,policies?\s+should,policies should,...lusions Both smoked tobacco and smokeless tobacco policies should be aggressively implemented in public places and ...
SCOPUS_ID:79953712613,0,policies?\s+should,policies should,"...eases in diabetes worldwide, multi-disease health policies should be considered. Published by Oxford University Pre..."
SCOPUS_ID:36949007225,50,(critical|essential|imperative|necessary|important)\s+that\s+.+(policy|government|policymakers),"important that we can effectively make international comparisons of the level of inequalities and assess trends over time. We investigate how the results of such comparisons can differ depending on whether inequality is quantified using the rate ratio or rate difference. Methods: We examine levels and trends in inequality inunder-five mortality using data from 22 low/lower-middle income countries [Africa (11), Latin America/Caribbean (5), Asia (6)], each with two Demographic and Health Surveys between 1991 and 2001. Within-country inequalities are quantified using the rate ratio and rate difference. Results Ranking countries by their level of inequality at one point in time differed, sometimes substantially, according to whether the rate ratio or difference was used (Spearman's rank correlation = 0.49). Similarly, ranking countries according to the magnitude and direction of change in inequality over time depended on the measure used. Importantly from a policy","...in countries are a key public health issue. It is important that we can effectively make international comparisons of the level of inequalities and assess trends over time. We investigate how the results of such comparisons can differ depending on whether inequality is quantified using the rate ratio or rate difference. Methods: We examine levels and trends in inequality inunder-five mortality using data from 22 low/lower-middle income countries [Africa (11), Latin America/Caribbean (5), Asia (6)], each with two Demographic and Health Surveys between 1991 and 2001. Within-country inequalities are quantified using the rate ratio and rate difference. Results Ranking countries by their level of inequality at one point in time differed, sometimes substantially, according to whether the rate ratio or difference was used (Spearman's rank correlation = 0.49). Similarly, ranking countries according to the magnitude and direction of change in inequality over time depended on the measure used. Importantly from a policy perspective, in five countries the direction of c..."
SCOPUS_ID:0039042215,0,policies?\s+should,policies should,...s potentially controllable and that the necessary policies should be implemented as a matter of urgency....
SCOPUS_ID:85189791399,1,policymakers?\s+should,policymakers should,...ooling. Conclusions: Findings suggest that public policymakers should be aware of the benefits and nuances of varying f...
SCOPUS_ID:85189093713,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...ties in STI screening during the pandemic. Future interventions should focus on improving primary care utilization of non-Hisp...
SCOPUS_ID:85186435972,1,policymakers?\s+should,Policymakers should,...rice tags could make excise taxes more effective. Policymakers should consider requiring messaging on price tags when i...
SCOPUS_ID:85149694123,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,"...and intensity across U.S. birth cohorts. Targeted interventions should address widening smoking disparities by race/ethnicity, p..."
SCOPUS_ID:85135711747,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should prioritize,...edicted engagement with the navigation team. SDoH interventions should prioritize outreach to those families expressing an interest...
SCOPUS_ID:85127761932,2,government\s+(must|should),government should,...es substantial inequities nationally. The federal government should enact a national paid sick-leave law....
SCOPUS_ID:85117862310,0,policies?\s+should,policies should,...sive symptoms throughout adulthood. Public health policies should promote healthy lifestyles during the lifespan to...
SCOPUS_ID:85112532654,1,policymakers?\s+should,Policymakers should,...not explicitly prohibit smoking or vaping inside. Policymakers should be made aware that ventilation and other engineer...
SCOPUS_ID:85103789746,1,policymakers?\s+should,Policymakers should,...borhoods during the early stages of the pandemic. Policymakers should pay particularly close attention to neighborhoods...
SCOPUS_ID:85101901581,1,policymakers?\s+should,policymakers should,"...uenza hospitalizations was almost $1,000. Federal policymakers should consider passing legislation mandating insurers t..."
SCOPUS_ID:85099010891,0,policies?\s+should,Policies should,...arly severe among foreign-born Blacks and Latinx. Policies should seek to reduce exposure to structural and environ...
SCOPUS_ID:85073574826,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...has not changed significantly in a decade. Future interventions should focus on addressing this gap in counseling....
SCOPUS_ID:85068770012,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,"...ccidental injury, and viral hepatitis. Preventive interventions should target these important causes of death...."
SCOPUS_ID:85058893546,0,policies?\s+should,Policies should,"...r than daily smokers, they are still substantial. Policies should be specifically directed at this growing group of..."
SCOPUS_ID:85040464186,50,(critical|essential|imperative|necessary|important)\s+that\s+.+(policy|government|policymakers),critical that gender identity questions are included in cancer and other health-related surveillance systems to create knowledge to better inform healthcare practitioners and policy,...wn sociodemographic and healthcare factors. It is critical that gender identity questions are included in cancer and other health-related surveillance systems to create knowledge to better inform healthcare practitioners and policymakers of appropriate screenings for trans and gen...
SCOPUS_ID:85030785838,0,policies?\s+should,policies should,"...comes and increase health equity, tobacco control policies should continue moving all subgroups of smokers down the..."
SCOPUS_ID:85012022699,0,policies?\s+should,policies should,...d improving paternal health. More family-friendly policies should be adopted by policymakers to promote father invo...
SCOPUS_ID:85008146356,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...lammation. It suggests that inflammation-reducing interventions should focus on blacks and individuals facing socioeconomic di...
SCOPUS_ID:84959879992,1,policymakers?\s+should,policymakers should,...itive lifestyle changes. Health professionals and policymakers should consider developing special programs for retirees...
SCOPUS_ID:84880317134,0,policies?\s+should,policies should,... federally required components of school wellness policies should be encouraged in all schools. © 2013 American Jou...
SCOPUS_ID:84871330543,0,policies?\s+should,policies should,...urveillance of alcohol prices and minimum pricing policies should be considered in the U.S. as part of a public hea...
SCOPUS_ID:78650908367,0,policies?\s+should,Policies should,"... whose decisions are shaped by research findings. Policies should be based on the best available knowledge, derived..."
SCOPUS_ID:77950844804,1,policymakers?\s+should,policymakers should,"...ty to undergo CRC screening, which clinicians and policymakers should consider in designing interventions to increase t..."
SCOPUS_ID:67649637603,1,policymakers?\s+should,Policymakers should,"...in particular pregnant women, become the victims. Policymakers should recognize such potential unintended consequences ..."
SCOPUS_ID:67649595575,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...widely adopted in this community in China. Future interventions should focus on the community and social environment in order ...
SCOPUS_ID:34249014934,1,policymakers?\s+should,Policymakers should,...represents a worrisome loss of physical activity. Policymakers should continue to support programs designed to encourag...
SCOPUS_ID:33644829474,2,government\s+(must|should),government should,"... for nonsmokers, (3) believe that city and county government should get involved with people's decisions about smokin..."
SCOPUS_ID:33644818412,2,government\s+(must|should),government should,...icies. Most police chiefs (62%) believed that the government should do everything it can to keep handguns out of the ...
SCOPUS_ID:30544437804,0,policies?\s+should,policies should,...healthier among very low-income consumers. Public policies should take the food environment into account in order t...
SCOPUS_ID:29644434846,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,"...cial environment paradigm holds that programs and interventions should focus ""upstream"" and attempt to directly modify social ..."
SCOPUS_ID:3242695451,0,policies?\s+should,Policies should,...pecially in households with smokers and children. Policies should be directed toward educating members of household...
SCOPUS_ID:85202490524,0,policies?\s+should,policies should,"...le warnings. In addition to warning labels, other policies should be considered for addressing well-known alcohol-r..."
SCOPUS_ID:85196646798,1,policymakers?\s+should,policymakers should,...ts over time. Physicians and education and health policymakers should consider the long-term effects of later school st...
SCOPUS_ID:85182366916,1,policymakers?\s+should,Policymakers should,...f undiagnosed hypertension among American adults. Policymakers should implement policies to address the shortage of pri...
SCOPUS_ID:85140240286,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,... effectiveness. Gun crime prevention policies and interventions should focus on these populations and on limiting illegal acce...
SCOPUS_ID:85124456657,1,policymakers?\s+should,Policymakers should,...orted medical usage than in the other two groups. Policymakers should consider these findings in order to allow for use...
SCOPUS_ID:85124456275,1,policymakers?\s+should,Policymakers should,...igned to cope with the challenge of urbanization. Policymakers should avoid damaging neighborhood social capital when i...
SCOPUS_ID:85114715778,1,policymakers?\s+should,policymakers should,...C prevention strategies. This study suggests that policymakers should target male cannabis users and highlight the safe...
SCOPUS_ID:85113354779,1,policymakers?\s+should,Policymakers should,"...accinate may motivate some people to take action. Policymakers should use a measured approach to protect public health,..."
SCOPUS_ID:85109796575,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...ssociated with changes in MetS components. Future interventions should focus concurrently on increasing fitness and on body ma...
SCOPUS_ID:85107112239,1,policymakers?\s+should,policymakers should,"...-sweetened and non-nutritive sweetened beverages, policymakers should consider the disparate exposure of at-risk popula..."
SCOPUS_ID:85103429961,9,public\s+health\s+interventions?\s+should,Public health interventions should,"..., but was probably not the most important factor. Public health interventions should continue to target smoking cessation, and also ta..."
SCOPUS_ID:85085758866,8,interventions?\s+should\s+(focus|target|address|prioritize),Interventions should address,...th; other predictors varied between product type. Interventions should address specific predictors to prevent youth from transit...
SCOPUS_ID:85066960594,0,policies?\s+should,policies should,...ghborhood conditions on physical activity. Public policies should target both individual and environmental factors ...
SCOPUS_ID:85035214808,1,policymakers?\s+should,policymakers should,"...wing public support to address the rich-poor gap, policymakers should consider joint federal tax and redistributive pol..."
SCOPUS_ID:85021819005,1,policymakers?\s+should,policymakers should,"...needed to expedite this process. In the meantime, policymakers should take advantage of the large body of scientific li..."
SCOPUS_ID:85023598823,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,...uninfected mothers. Findings indicate that future interventions should target sub-populations such as HIV-infected women becaus...
SCOPUS_ID:85021940804,9,public\s+health\s+interventions?\s+should,Public health interventions should,"... independently associated with MSA participation. Public health interventions should improve access to strength training facilities, a..."
SCOPUS_ID:85019692325,8,interventions?\s+should\s+(focus|target|address|prioritize),Interventions should focus,...best practices are more likely to implement LWPs. Interventions should focus on the formation of wellness teams with recommend...
SCOPUS_ID:85013428420,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,"...ted to low income persons. However, public health interventions should target minority individuals of very high income as well,..."
SCOPUS_ID:85013428420,9,public\s+health\s+interventions?\s+should,public health interventions should,"...ions are targeted to low income persons. However, public health interventions should target minority individuals of very high income a..."
SCOPUS_ID:84976638240,0,policies?\s+should,policies should,...were positively related. Conclusions Legalization policies should include public education campaigns addressing pot...
SCOPUS_ID:84949670932,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,"...at least one other tobacco product. Public health interventions should address use of all tobacco products, use of which may ris..."
SCOPUS_ID:84949670932,9,public\s+health\s+interventions?\s+should,Public health interventions should,"...rrently using at least one other tobacco product. Public health interventions should address use of all tobacco products, use of which..."
SCOPUS_ID:84949238943,2,government\s+(must|should),government should,... 1.66-6.81) than non evacuation. Conclusions: The government should consider updating its requirements for emergency ...
SCOPUS_ID:84930210030,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...rly in the Taiwanese population and public health interventions should focus on assisting their cognitive aging....
SCOPUS_ID:84930210030,9,public\s+health\s+interventions?\s+should,public health interventions should,...ulnerable elderly in the Taiwanese population and public health interventions should focus on assisting their cognitive aging....
SCOPUS_ID:84916890286,9,public\s+health\s+interventions?\s+should,Public health interventions should,"...pment of an adverse cardiometabolic risk profile. Public health interventions should place greater emphasis on cooking healthfully, no..."
SCOPUS_ID:84920049859,37,action\s+is\s+needed,action is needed,...Urgent action is needed to reduce the harm caused by smoking. Product sta...
SCOPUS_ID:84904268934,0,policies?\s+should,Policies should,...should attract more attention from policy makers. Policies should also be more devoted to enhancing the mobility an...
SCOPUS_ID:84885862542,0,policies?\s+should,policies should,...s educated groups. This suggests that nutritional policies should still concentrate on promoting access to a health...
SCOPUS_ID:84880802147,2,government\s+(must|should),government should,...tions targeting smoking siblings and friends. The government should consider zoning restrictions to limit sales of to...
SCOPUS_ID:84866042679,0,policies?\s+should,Policies should,...it increased among children entering adolescence. Policies should focus on safety and environmental determinants to...
SCOPUS_ID:61849182593,1,policymakers?\s+should,Policymakers should,...sing trend among office/service personnel mainly. Policymakers should take into account these data to assess the effect...
SCOPUS_ID:61649110966,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,...increased the odds. Conclusions: Health promoting interventions should address multiple health risk behaviors in an integrated f...
SCOPUS_ID:14644428949,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,...uring the delivery of preventive services. Future interventions should address visit- and practice-specific factors more closely...
SCOPUS_ID:84898049119,45,(ban|bans|banning|banned)\s+on\s+.+\s+should\s+be\s+considered,"ban on soluble fluids (the most common type) would have had the greatest effect, saving an estimated 1550 years of life. Corresponding estimates were 737 and 260 years for straight and synthetic fluids, respectively. Few workers were exposed to synthetic fluids, limiting analytic power. ConclusionS: This application of g-estimation suggests that limiting exposure to metalworking fluids could have saved many years of life lost to COPD in this cohort. The approach permits comparison of different interventions. Separate limits should be considered","...uld have had greater effect than higher limits. A ban on soluble fluids (the most common type) would have had the greatest effect, saving an estimated 1550 years of life. Corresponding estimates were 737 and 260 years for straight and synthetic fluids, respectively. Few workers were exposed to synthetic fluids, limiting analytic power. ConclusionS: This application of g-estimation suggests that limiting exposure to metalworking fluids could have saved many years of life lost to COPD in this cohort. The approach permits comparison of different interventions. Separate limits should be considered for different types of fluids. Copyright © 2014 b..."
SCOPUS_ID:85204178168,1,policymakers?\s+should,Policymakers should,...for children in larger families and those aged 8. Policymakers should carefully evaluate the potential health consequen...
SCOPUS_ID:85214301062,1,policymakers?\s+should,policymakers should,"...isk of wasting associated with disaster exposure, policymakers should prioritise interventions to address wasting in po..."
SCOPUS_ID:85144790993,0,policies?\s+should,policies should,...elated risk factors suggesting that public health policies should address this vulnerable group by adopting the pre...
SCOPUS_ID:85127630646,0,policies?\s+should,policies should,...on by sex or urbanicity. Conclusion Public health policies should promote the use of clean cooking fuels and cookst...
SCOPUS_ID:85137012797,1,policymakers?\s+should,policymakers should,"...itions. To prevent excessive medical expenditure, policymakers should consider how income reduction affects the behavio..."
SCOPUS_ID:85097259184,0,policies?\s+should,policies should,"...y-level reporting of suicides, suicide prevention policies should be developed, with a priority to address social s..."
SCOPUS_ID:85105550096,1,policymakers?\s+should,policymakers should,"...rates of hospitalisation and death from COVID-19, policymakers should also pay attention to understanding and addressin..."
SCOPUS_ID:85020621680,1,policymakers?\s+should,Policymakers should,...the same category of mental disorders in couples. Policymakers should strengthen the coping strategies of the caring sp...
SCOPUS_ID:75249105964,0,policies?\s+should,Policies should,"...hallenge. Finding new ways to boost Health In All Policies should be a continuous process. Currently, health inform..."
SCOPUS_ID:62449191210,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,"...67; 95% CI 0.63 to 0.70). Conclusions: Preventive interventions should target the most vulnerable patients, in particular the v..."
SCOPUS_ID:59949087691,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...low at-risk groups to be identified. Policies and interventions should focus on parents and providing them with an environment...
SCOPUS_ID:33749250408,1,policymakers?\s+should,policymakers should,"...matically associated with socioeconomic position, policymakers should be clearly informed of the importance of socioeco..."
SCOPUS_ID:1642602566,0,policies?\s+should,policies should,...ributed among social classes in Barcelona. Health policies should take into account these inequalities....
SCOPUS_ID:0032892294,37,action\s+is\s+needed,action is needed,"...ly effective in Lithuania but, overall, much more action is needed...."
SCOPUS_ID:0028965064,2,government\s+(must|should),government should,...m and enabled them to live independently. Central government should reconsider wider cash for care schemes and the po...
SCOPUS_ID:0027230507,0,policies?\s+should,Policies should,"...cts of stroke management are effective is needed. Policies should aim to provide planned, coordinated care between ..."
SCOPUS_ID:85188896640,37,action\s+is\s+needed,action is needed,...rly among the working-age population. Substantial action is needed now to address population health and to prepare h...
SCOPUS_ID:85111341335,0,policies?\s+should,Policies should,"...es in body composition, as they emerge and widen. Policies should consider FFM as well as FM, and inequalities in t..."
SCOPUS_ID:85101328059,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,...d with suicide among people in prison. Preventive interventions should target these risk factors and include improved access to...
SCOPUS_ID:85082449535,0,policies?\s+should,policies should,...al health among trans persons. Gender recognition policies should be considered structural determinants of transgen...
SCOPUS_ID:85075871232,0,policies?\s+should,policies should,... equally to FMC and RYO products. Tobacco control policies should prohibit price marketing that otherwise erodes th...
SCOPUS_ID:85049344685,50,(critical|essential|imperative|necessary|important)\s+that\s+.+(policy|government|policymakers),"important that large well designed clinical trials, which include people with complex comorbidities, are conducted to determine the efficacy of cannabis for chronic non-cancer pain. Funding: National Health and Medical Research Council and the Australian Government","... for medicinal purposes increases globally, it is important that large well designed clinical trials, which include people with complex comorbidities, are conducted to determine the efficacy of cannabis for chronic non-cancer pain. Funding: National Health and Medical Research Council and the Australian Government...."
SCOPUS_ID:85042198171,0,policies?\s+should,policies should,"...fered when necessary. Additionally, other alcohol policies should be considered to reduce heavy drinking in the gen..."
SCOPUS_ID:85017461960,0,policies?\s+should,policies should,...e-years in elderly people. National public health policies should be strengthened to reduce hip fracture incidence ...
SCOPUS_ID:85179639150,1,policymakers?\s+should,policymakers should,... PUP penalties. Public Health Implications. State policymakers should consider implementing T21 laws without PUP penalt...
SCOPUS_ID:85161224296,0,policies?\s+should,policies should,...s. Supply-side enforcement interventions and drug policies should be further explored to determine whether they exa...
SCOPUS_ID:85152167850,0,policies?\s+should,Policies should,...apid-onset disasters with short preimpact phases. Policies should address facility-level preparedness including smo...
SCOPUS_ID:85117425570,1,policymakers?\s+should,Policymakers should,... the impact of the pandemic on health inequities. Policymakers should consider resources to support LGBTQ1 mental healt...
SCOPUS_ID:85115449860,1,policymakers?\s+should,policymakers should,"...th of employees and incarcerated individuals, and policymakers should explicitly consider the public health concerns po..."
SCOPUS_ID:85092444208,1,policymakers?\s+should,Policymakers should,...ges followed in 2019. Public Health Implications. Policymakers should expect increasing attempts to alter state legisla...
SCOPUS_ID:85077761308,0,policies?\s+should,policies should,...Public Health Implications. Disaster preparedness policies should raise structural standards for low-income housing...
SCOPUS_ID:85064204200,0,policies?\s+should,policies should,"...ion, suggesting that subsequent paid family leave policies should be designed to target more vulnerable mothers...."
SCOPUS_ID:85050232372,1,policymakers?\s+should,Policymakers should,...sk for substance use. Public Health Implications. Policymakers should invest in prevention and early intervention resou...
SCOPUS_ID:85027869387,1,policymakers?\s+should,policymakers should,"...ic prevention programs that protect fetal health, policymakers should include long-Term reductions in hospitalizations ..."
SCOPUS_ID:85027833011,37,action\s+is\s+needed,action is needed,...es in tap water and other beverage intake. Policy action is needed to ensure equitable access to healthy beverages....
SCOPUS_ID:85005966664,1,policymakers?\s+should,policymakers should,"...at state data, and suggest that practitioners and policymakers should increasingly focus interventions to address the n..."
SCOPUS_ID:84946718103,8,interventions?\s+should\s+(focus|target|address|prioritize),Interventions should address,...g sexually active men of all sexual orientations. Interventions should address homonegative attitudes in the United States....
SCOPUS_ID:84939140304,1,policymakers?\s+should,policymakers should,...sure in most countries. Conclusions. West African policymakers should adopt policies consistent with Article 8 of the W...
SCOPUS_ID:84929379006,8,interventions?\s+should\s+(focus|target|address|prioritize),Interventions should address,... mortality disparity with the general population. Interventions should address both addiction and non-addiction sources of exces...
SCOPUS_ID:84907842370,1,policymakers?\s+should,policymakers should,"...lusions. To address race disparities in diabetes, policymakers should address problems created by concentrated poverty ..."
SCOPUS_ID:84907806978,1,policymakers?\s+should,policymakers should,...who experience job loss. Health professionals and policymakers should target resources to this group during recessions....
SCOPUS_ID:84894093948,1,policymakers?\s+should,Policymakers should,... attempts to counteract the impact of such taxes. Policymakers should therefore consider 2 complementary laws-minimum p...
SCOPUS_ID:84893434115,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,"...osed to PSLEs. Clinical, programmatic, and policy interventions should address upstream PSLEs, especially for adolescents, to re..."
SCOPUS_ID:84893405508,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,...seholds) risk factors. Conclusions. Public health interventions should address sexual orientation identity disparities in safety...
SCOPUS_ID:84893405508,9,public\s+health\s+interventions?\s+should,Public health interventions should,...e same-sex households) risk factors. Conclusions. Public health interventions should address sexual orientation identity disparities i...
SCOPUS_ID:84884155807,1,policymakers?\s+should,policymakers should,"...ent persons. To realize these acts' full promise, policymakers should ensure that clients have access to tobacco treatm..."
SCOPUS_ID:84879026823,8,interventions?\s+should\s+(focus|target|address|prioritize),Interventions should address,...ully vaccinated when influenza began circulating. Interventions should address factors negatively affecting timely influenza vac...
SCOPUS_ID:84874075289,1,policymakers?\s+should,Policymakers should,... help reduce the use of high-powered motorcycles. Policymakers should introduce health warnings on the risks of high-po...
SCOPUS_ID:84872544636,0,policies?\s+should,policies should,...timing of WBVs were not. Future interventions and policies should actively promote first dental examinations by age...
SCOPUS_ID:84859089871,1,policymakers?\s+should,Policymakers should,...e cost-effective than either vaccine given alone. Policymakers should consider a stepwise strategy to reduce the burden...
SCOPUS_ID:84859080806,1,policymakers?\s+should,Policymakers should,...gments of the Arkansas population than in others. Policymakers should consider targeting future MSA tobacco control pro...
SCOPUS_ID:84857258775,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,"...red with age. Conclusions. Some behavioral change interventions should target lesbians, gays, and bisexuals at all ages, wherea..."
SCOPUS_ID:80053042274,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should address,"...O and MSMW, differences did exist. HIV prevention interventions should address the unique needs of African American MSMW...."
SCOPUS_ID:79954572564,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should focus,...likely to have a later first dental visit. Future interventions should focus on ensuring timely access to first dental visits ...
SCOPUS_ID:79951605742,1,policymakers?\s+should,policymakers should,"...d their correlated social determinants of health, policymakers should consider incorporating this tool to advise future..."
SCOPUS_ID:78751527664,1,policymakers?\s+should,policymakers should,"...hat remediation of high-radon houses, a fact that policymakers should consider as they contemplate the future of cancer..."
SCOPUS_ID:77953588726,2,government\s+(must|should),government should,...at smoking is primarily a personal choice. The US government should compensate veterans fairly and should abolish mil...
SCOPUS_ID:77953549181,1,policymakers?\s+should,Policymakers should,... regulation and the enforcement of existing laws. Policymakers should be cautious about accepting industry selfregulati...
SCOPUS_ID:70350058669,8,interventions?\s+should\s+(focus|target|address|prioritize),interventions should target,...r differences we found suggest that public health interventions should target men and women differently....
SCOPUS_ID:70350058669,9,public\s+health\s+interventions?\s+should,public health interventions should,...nce. The gender differences we found suggest that public health interventions should target men and women differently....
SCOPUS_ID:59049095966,42,public\s+policy\s+(must|should|needs\s+to),public policy should,...isk factors for disability among older adults. US public policy should encourage these inexpensive health promotion prog...
SCOPUS_ID:38449087772,1,policymakers?\s+should,Policymakers should,"...re medical schools (r=0.53, P<.001). Conclusions. Policymakers should realize that physician migration is positively re..."
SCOPUS_ID:33847749472,2,government\s+(must|should),government should,...h should be prepared to counter the argument that government should not regulate private behavior....
SCOPUS_ID:35748939753,1,policymakers?\s+should,Policymakers should,...tween working for pay and adolescent tobacco use. Policymakers should monitor the conditions under which young people w...
SCOPUS_ID:34948871493,1,policymakers?\s+should,policymakers should,...tended to reflect pre-HAART levels. Public health policymakers should consider the hypothesis of unequal diffusion of t...
SCOPUS_ID:85203275937,0,policies?\s+should,policies should,"...ion policies and care management. Gender-specific policies should be highlighted, as we observed a higher impact of..."
